中欧医疗健康混合C,0.66,-2.02,-3.93,-6.32,14:4:33(更新中)
天弘恒生科技指数(QDII)C,0.57,-2.36,-2.71,-5.68,14:4:34(更新中)
诺安成长混合,0.56,-8.58,-5.57,-3.89,14:4:35(更新中)
国投瑞银国家安全混合A,-0.09,-0.05,-2.14,-2.72,14:4:35(更新中)
招商中证煤炭等权指数(LOF)A,-0.10,2.04,0.47,0.81,14:4:34(更新中)
创金合信工业周期股票C,-0.29,-3.55,-4.88,-6.63,14:4:33(更新中)
信诚中证800有色指数(LOF)C,-0.42,-3.32,-3.44,-3.44,14:4:34(更新中)
农银工业4.0混合,-0.97,-1.79,1.08,1.16,14:4:35(更新中)
招商中证白酒指数(LOF)C,-1.21,-4.65,-8.07,-8.83,14:4:33(更新中)
广发中证全指汽车指数C,-1.49,1.08,-1.88,-3.09,14:4:33(更新中)
